secucode,publish_date,announcement_title,regulatory_focus_points_json
002781.SZ,2022-02-14,奇信股份-关注函-2022-02-14,"['解释2021年营业收入下降原因及与同行业差异', '详细说明应收账款、合同资产及存货减值情况', '披露大额资金流出的实际流向和决策者', '评估内部控制有效性，自查是否存在其他财务异常', '确认是否存在挂靠项目并说明会计处理']"
002781.SZ,2022-11-28,*ST奇信-三季报问询函-2022-11-28,"['披露被告涉诉事项明细情况', '说明预计负债计提是否充分、审慎', '补充披露转为投资性房地产计量的固定资产明细', '说明预付账款前五名的基本情况', '是否存在年末净资产持续为负而被实施终止上市的风险', '逐项说明2021年审计报告非标意见涉及事项消除情况', '结合立案调查进展情况，说明是否可能触及重大违法强制退市情形', '披露股票交易异常波动暨风险提示性公告', '核查是否存在买卖公司股票的行为']"
002781.SZ,2020-04-16,奇信股份-关注函-2020-04-16,"['说明投资建设熔喷无纺布生产线的具体原因', '量化分析佛山中科华洋处于国内领先水平的依据及合理性', '解释盈利预测的具体依据，提示相关风险', '披露控股股东、实际控制人等股票交易情况及未来计划']"
002781.SZ,2022-08-03,*ST奇信-关注函-2022-08-03,"['说明康诺建工债权详情及其与公司的关联关系', '预重整进展及风险提示', '核实是否存在应披露未披露的重大信息', '函询控股股东关于股权转让等事宜', '核查近期接待调研情况是否公平', '核查相关人员买卖股票行为', '其他需要说明的事项']"
002781.SZ,2023-02-03,*ST奇信-关注函-2023-02-03,"['详细说明投资性房地产公允价值获取方式及变更影响', '逐项列示未决诉讼明细并解释预计负债减少原因', '结合业务情况说明项目费用计提变化合理性', '补充披露资产减值计提情况及对业绩预告的影响', '详细说明应收账款回收情况及其对公司业绩的具体影响']"
002781.SZ,2023-04-24,*ST奇信-关注函-2023-04-24,"['做好相关岗位工作交接，确保年度报告按期披露。', '自查并更正前期虚假记载等信息披露问题。', '每五个交易日披露一次进展并进行风险提示。']"
002782.SZ,2022-06-15,可立克-非许可类重组问询函-2022-06-15,"['解释未能对标的公司实施控制的原因和合理性。', '说明是否具备控制、管理和运营标的公司的相应人才储备及经验。', '补充会计处理方式及其对公司财务报告的影响。', '披露前次竞买与本次交易对应标的资产整体估值差异原因。', '分析标的公司高负债率的原因及偿债风险。', '评估收购对上市公司偿债能力的影响。', '解释收入增长、毛利率和净利率下滑的原因。', '说明外协生产模式的合理性及其对公司的影响。', '披露是否存在关联方非关联化或利益输送情形。', '分析外协生产是否导致公司违约。', '补充未来年度预测收入规模和净利润的增长依据。', '解释交易定价高于收益法评估结果的原因。', '评估标的公司与主要客户合作的稳定性及风险应对措施。']"
002792.SZ,2023-03-21,通宇通讯-关注函-2023-03-21,"['说明收购标的公司的目的、必要性和合理性。', '解释王涛等5位交易对手方取得标的公司股权后即转让的原因及合理性。', '补充披露收益法评估的具体情况，说明评估增值较大的合理性。', '以中标率作为业绩承诺指标的合理性及其可实现性。', '披露交易对手方是否为失信被执行人、标的公司是否存在担保等情况']"
002792.SZ,2023-02-15,通宇通讯-关注函-2023-02-15,"['说明出售深圳光为股权情况下互动易回复的真实性', '提供研发样品认证客户信息', '说明股权转让完成后持有四川光为的方式', '披露近期接待调研情况，是否存在违反公平披露原则', '说明是否迎合热点炒作股价、配合减持', '确认是否存在应披露未披露的重大信息并进行风险提示', '核查最近一个月买卖公司股票的情况及未来三个月内是否有减持计划', '函询控股股东及实际控制人是否有重大影响的事项']"
831039.BJ,2024-03-26,【2024年】第005号 关于对国义招标股份有限公司的问询函,"['说明本次评估中，资产基础法评估的具体过程。', '说明收益法评估增值率较高的原因及合理性。', '说明最终选用收益法评估结果的原因。', '结合前次评估差异较大的原因及合理性，标的公司是否存在评估价值进一步下降的风险。', '结合同行业公司收购定价情况等，说明本次购买资产定价合理性。', '量化说明业绩承诺指标的设定依据。', '与收益法评估中未来盈利预测是否存在差异。', '结合财务指标变化、行业态势等说明购买资产必要性及合理性。', '测算购买资产对营运资本的影响。', '说明整合措施是否有利于提高上市公司资产质量。']"
831039.BJ,2023-09-18,关于对国义招标股份有限公司的重组问询函,"['报告期调整事项的原因及影响', '大额会计差错的整改情况', '利润分配是否符合规定', '会计处理及税务处理是否合规', '营业收入核查程序的有效性', '标的公司评估增值合理性', '定价差异的具体原因', '最低现金保有量的审慎性', '投资收益调整的合规性', '备考信息披露与业绩补偿合理性', '同一控制下合并实施的可行性', '交易对方股份补偿的操作性']"
831039.BJ,2023-06-27,关于对国义招标股份有限公司的重组问询函,"['说明报告期期初大额未弥补亏损的原因及标的公司盈利变化的真实性', '解释货币资金、减值准备等科目变化的合理性，是否存在滥用会计政策', '补充收益法评估的具体过程及其参数选取依据', '解释资产基础法下无形资产评估差异原因及合理性', '说明折旧与摊销数值相同的合理性及自由现金流量加回是否审慎', '溢余资金认定依据及对日常业务开展的影响', '流动资产减值原因及会计处理的合规性', '不同评估方法结果差异较大的原因及合理性', '非同一控制下合并产生商誉的原因及其在备考报表中的确认', '广新集团会计处理是否准确，影响本次交易相关会计确认及计量', '说明同一控制下合并的具体方式及减值测试', '股份补偿措施的合规性及可执行性', '保证标的股份用于履行补偿义务的相关安排']"
002856.SZ,2024-05-19,美芝股份-年报问询函-2024-05-19,"['解释2023年营业收入大幅下降的原因。', '说明毛利率大幅下降的合理性。', '评估公司的流动性风险及持续经营能力。', '披露与国资承诺相关协议的具体内容。', '分析公司治理稳定性受否决票影响的情况。', '自查是否存在控制权无序争夺情形。', '解释业绩补偿款诉讼原因及后续计划。', '验证李苏华是否完成新增中标合同金额目标。', '评估应收账款周转天数增长的原因及其合理性']"
002316.SZ,2022-07-22,*ST亚联-关注函-2022-07-22,"['确认是否存在应披露而未披露的重大信息，公司基本面是否发生重大变化。', '控股股东及实际控制人是否有股权转让、资产重组等计划。', '近期是否接待机构和个人投资者调研。', '董事、监事、高级管理人员及其直系亲属是否存在买卖股票行为。', '公共媒体报道对公司股价影响的相关情况。']"
002316.SZ,2021-06-08,亚联发展-年报问询函-2021-06-08,"['说明开店宝科技营业收入、净利润下降原因', '解释营业成本变动与收入的匹配性', '分析毛利率下降的原因', '评估商誉减值准备是否充分', '提示商誉占净资产比例高的风险', '说明浙江企管、福建即富2020年经营业绩合理性', '分析资产负债率高和流动比率低的原因', '解释预付账款的合理性', '说明长账龄应收账款原因及收入确认情况', '披露其他应收款明细及其商业实质', '解释交通工程系统集成业务增长与成本变动关系', '补充开店宝科技客户、供应商信息', '解释返现费用变化和销售费用增加原因']"
002329.SZ,2020-03-23,皇氏集团-关注函-2020-03-23,"['说明与商汤科技合作的具体方式及对公司业绩影响。', '详细披露泰安智慧的业务、财务数据及合作内容。', '补充披露实控人等减持计划。', '自查近期接待调研情况，是否存在信息披露不公问题。']"
002329.SZ,2024-05-20,皇氏集团-年报问询函-2024-05-20,"['列示近三年前五大客户与供应商情况并说明变化原因', '解释信息服务及信息工程业务业绩下滑和毛利率下降的原因', '分析光伏组件销售与EPC 业务毛利率大幅下降及营业收入增长合理性', '净利润增长幅度显著高于营业收入增长幅度的原因', '持续经营能力是否存在重大不确定性', '贸易业务具体情况及收入确认方法变更原因', '会计差错更正依据和计算过程，是否存在触及强制退市指标情形', '核实贸易业务客户供应商关联关系并说明交易实质', '自查近三年其他需要调整收入确认方法的交易', '披露转让股权具体情况及其对公司财务报表影响', '分析皇氏数智诉讼最新进展及对公司可能产生的影响', '评估股权转让是否有利于公司持续发展']"
002329.SZ,2021-05-28,皇氏集团-年报问询函-2021-05-28,"['说明筑望科技业绩下滑原因及合理性', '解释完美在线与筑望科技经营差异及业绩承诺真实性', '披露筑望科技主要客户、供应商及应收账款情况', '评估商誉减值计提依据是否充分，是否存在利润调节', '延期收购国富创新所持筑望科技股权的具体原因', '说明公司对滨州云商后续安排及收益计算方式', '解释东岳数智各股东出资情况及其资金来源', '披露泰安数智业务开展情况和财务数据', '说明受限货币资金具体金额及存放形式', '解释大额借款情况下持有大量货币资金的原因']"
002329.SZ,2022-08-23,皇氏集团-关注函-2022-08-23,"['详细说明农光互补公司的基本情况。', '详细说明农光互补公司其余股东的基本情况。', '说明项目投资总金额及可实现性的测算依据。', '详细说明公司在本次项目中的投资模式和预计投入。', '提示上述项目投资存在的风险。', '列示近三年所有框架协议的后续进展情况。', '说明项目的筹划和信息保密情况。', '说明是否存在利用信息披露配合二级市场炒作的情形']"
002329.SZ,2020-04-13,皇氏集团-关注函-2020-04-13,"['子公司主营业务与RCS技术的关系及影响', '公司对RCS技术的研究现状和商业应用条件', '近三个月买卖股票情况及未来减持计划', '其他需要说明的事项']"
002329.SZ,2020-06-02,皇氏集团-年报问询函-2020-06-02,"['披露东岳数智、数智运营的股权结构图及持股比例。', '说明投资东岳数智的目的和会计处理。', '详细合伙协议条款，包括出资情况等。', '解释御嘉影视100%股权作价59,400万元的原因及其对公司业绩的影响。', '分析御嘉影视债务偿还情况及担保解除情况。', '分析宁波智莲延期支付款项的原因和履约能力。', '说明应收股权转让款的回收可能性及坏账准备计提是否充分。', '解释能否对上海赛领实施控制，以及非流动资产核算依据。', '披露上海赛领对外投资的具体项目、金额与持股比例。', '自查未履行审议程序和信息披露义务的情况。', '分析现金流量净额季度性波动原因。', '补充披露各类业务前五大客户及供应商信息。', '说明货币资金同比增长及部分受限的原因。', '解释往来款形成原因、性质及其关联关系。', '说明应收利息计算方式及未计提坏账准备的合理性。', '评估抵押房产的价值和权利受限情况，以及保障措施。', '解释在建工程会计处理是否符合规定。', '逐笔说明短期借款的具体情况。', '解释利息收入大幅增长的原因。']"
002329.SZ,2023-05-10,皇氏集团-年报问询函-2023-05-10,"['完美在线营业收入、净利润连续三年下降的原因及合理性。', '皇氏数智、皇氏信息、筑望科技是否存在重大变化及其原因。', '三者是否互为条件，构成一揽子交易，信息披露义务履行情况。', '后续调整安排（如有）。', '农光互补公司财务数据及在手订单情况。', '与央企等企业合作的具体内容和影响。', '华能皇氏公司的基本情况。', '近三年所有框架协议的进展。', '主要投资项目收益或亏损情况。', '软件与信息技术服务业营业收入及净利润变动趋势不一致的原因。', '2021年季度间数据大幅波动原因。', '2022年收入、利润和现金流变化原因。']"
002329.SZ,2023-03-21,皇氏集团-关注函-2023-03-21,"['说明对皇氏数智和筑望科技债权形成原因。', '说明股权转让款是否逾期未支付。', '解释不收取利息的原因及合理性。', '论证偿还能力。', '评估四川藏鑫履约能力及保障措施。', '论证交易作价公允性。', '核查是否存在关联关系或其他利益安排。', '其他需说明问题。']"
002329.SZ,2022-05-09,皇氏集团-年报问询函-2022-05-09,"['完美在线2021年营业收入持平但净利润下降的原因', '筑望科技及其子公司亏损原因', '筑望科技2021年经营情况变化及合理性', '设立皇氏信息科技的具体原因和业务开展情况', '商誉减值测试过程及合理性', '2021年各季度净利润率大幅下降的原因', '年报与专项核查报告营业收入扣除金额差异', '按单项计提坏账准备的应收账款明细及其充分性', '前五大应收账款形成原因及坏账准备合理性', '按单项计提坏账准备的其他应收款明细及其充分性', '前五大其他应收款形成原因及坏账准备合理性', '预付款项的具体情况及是否存在资金占用', '库存商品存货跌价准备计提过程及合理性']"
002331.SZ,2020-11-17,皖通科技-关注函-2020-11-17,"['监事会在同意股东提请召开股东大会后是否有权取消股东提议召开的股东大会？', '监事会此次取消股东大会的理由是否属于对股东提案内容进行实质性审查？', '易增辉所持股份被司法冻结事项对此次提议召开股东大会股东资格的具体影响是什么？', '监事会取消此次股东大会是否构成对原请求的变更，若是，是否已征得相关股东同意？', '监事会此次取消股东大会实质上是否构成监事会不召集或主持股东大会？', '第五届监事会决议变更的原因及合理性']"
002331.SZ,2021-05-19,皖通科技-关注函-2021-05-19,"['西藏景源是否同意取消股东大会，否的话是否违反《公司法》和《股票上市规则（2020 年修订）》的规定。', '审议议案的董事是否充分考虑了相关法律规定及合法合规性。', '说明诉讼具体情况、进展及其对公司的影响。', '多次延期或取消股东大会是否触及《股票上市规则（2020 年修订）》第13.3 条规定。', '应予说明的其他事项。']"
002331.SZ,2021-03-25,皖通科技-关注函-2021-03-25,"['本次临时提案的审核主体是否为股东大会召集人？', '公司董事会是否履行了审议程序？']"
002331.SZ,2021-07-01,皖通科技-关注函-2021-07-01,"['中国财政经济出版社的声明是否属实，中财万泓是否系嘉瑞万弘假借与中国财政经济出版社合作名义而成立的空壳公司。', '补充披露安徽中战的股权控制关系结构图，并说明控股股东及实际控制人。', '国家企业信用信息公示系统与《公告》显示安徽中战执行事务合伙人不一致的原因。', '你公司应予说明的其他事项。']"
002331.SZ,2021-03-22,皖通科技-关注函-2021-03-22,"['未将股东临时提案提交股东大会审议的原因及合法性', '监事刘丹丹未出席监事会会议的具体原因及其通知情况', '监事会决议的合法性和有效性']"
002331.SZ,2021-03-30,皖通科技-关注函-2021-03-30,"['延期召开股东大会是否符合相关规定？', '此次延期行为是否实质为取消股东大会或拒绝召开股东大会？', '西藏景源行使表决权存在重大不确定性的原因是什么？', '公司未在4月7日前召开股东大会是否违反《公司法》规定？']"
002331.SZ,2021-09-01,皖通科技-半年报问询函-2021-09-01,"['说明借款收款方的具体情况。', '说明收款方及其股东与公司的关联关系。', '说明借款审批流程及逾期款项应对措施。', '自查是否存在其他违规提供财务资助情形。', '进一步说明大额往来交易背景和具体核查内容。', '说明交易对方与公司关联关系，是否存在资金占用。', '说明安康大数据产业园合同的具体条款和支付履约保证金原因。', '说明合同解除后预付款是否收回。', '披露前五名预付账款明细及增长原因。', '说明是否存在控股股东及实际控制人']"
002331.SZ,2021-04-15,皖通科技-关注函-2021-04-15,"['说明西藏景源与刘含构成一致行动关系的具体依据。', '详细说明西藏景源及刘含可能涉及表决权受限股票数量的具体测算过程。', '在法院尚未判决的情况下，相关股票是否具有表决权？']"
002331.SZ,2021-04-07,皖通科技-关注函-2021-04-07,"['变更股东大会召开时间是否构成对原请求的变更？', '西藏景源提议召开临时股东大会的提案是否有效存在不确定性？', '两次董事会决议相关说法不一致的原因及合理性是什么？']"
002331.SZ,2020-10-13,皖通科技-关注函-2020-10-13,"['分析无法对赛英科技实施有效控制的具体原因。', '说明赛英科技违反管理制度及易增辉违反协议承诺的具体情况。', '说明在赛英科技的履职情况，是否忠实勤勉履行职责。', '解释法定代表人变更的原因及其合理性。', '描述公司对赛英科技采取的整合措施和内部控制效果。', '评估是否存在需实施其他风险警示的情形。', '说明董事会审议未通过临时股东大会议案的理由及后续安排。']"
002331.SZ,2022-03-01,皖通科技-关注函-2022-03-01,"['说明认定西藏景源为控股股东、黄涛为实际控制人的依据。', '披露从2021年8月31日至公告日，股东变动情况及实际控制人认定是否及时充分。', '应予说明的其他事项。']"
002331.SZ,2020-06-15,皖通科技-关注函-2020-06-15,"['说明南方银谷失去公司控制权的原因。', '证明公司不存在实际控制人的合理性及充分性。', '说明是否存在管理层或多个股东共同控制的情况。', '说明前十大股东之间是否存在关联关系或其他安排。', '评估控股股东和实际控制人变更对公司经营的影响并提出应对措施。']"
002331.SZ,2020-11-12,皖通科技-关注函-2020-11-12,"['公司对《公司法》和章程条款设置是否违反规定，是否损害股东权利。', '赛英科技财务数据纳入合并报表的原因及合理性。', '无法核实赛英科技财务数据真实性的原因及履职情况。', '相关负责人保证季报真实性的合法合规性。', '易增辉对第三季度报告内容的异议原因及其履职情况。']"
002331.SZ,2020-05-13,皖通科技-关注函-2020-05-13,"['南方银谷是否侵害了股东权利？', '南方银谷在《深圳商报》刊登通知的原因及合规性如何？', '股东大会召集程序是否符合相关规定？', '其他应说明的事项。']"
002331.SZ,2020-09-17,皖通科技-关注函-2020-09-17,"['核实否决或弃权票的具体原因', '股东大会能否正常运行，是否影响公司生产经营及治理是否存在重大缺陷', '后续安排及解决措施', '前十大股东中是否存在其他关联关系或一致行动关系', '说明仍不存在实际控制人的合理性', '补充披露详式权益变动报告书']"
002331.SZ,2021-05-10,皖通科技-年报问询函-2021-05-10,"['说明成都赛英交易的具体情况及会计处理是否合规', '年审会计师对保留意见事项的审计程序和依据', '上会所与公司存在的具体分歧', '易增辉投票弃权的原因及其合理性', '解释《一致行动人协议》未保持一致性的原因', '补充披露陕西皖通的主营业务情况及财务数据', '说明是否存在同业竞争及南方银谷是否损害利益', '成都赛英收入确认时点及发票开具情况', '与年审会计师沟通过程及不确定因素的具体事项', '各大类产品项下的具体信息及毛利率差异', '以前年度货款支付方式及其变化原因', '商誉形成过程、业绩承诺实现情况及减值准备计提', '成都赛英业绩完成情况及资质续期进展', '应收账款账面余额']"
002331.SZ,2022-05-17,皖通科技-年报问询函-2022-05-17,"['详细说明华东电子签订合同及支付履约保证金的原因。', '说明款项收回进展，是否存在障碍及解决措施。', '结合行业情况解释赛英科技业绩下滑原因。', '年审会计师就保留意见事项发表意见。', '补充商誉减值测试过程并说明合理性。', '说明资质恢复审查进展及影响。', '解释存货大幅增加的原因及其合理性。', '列示合同履约成本明细并解释其变动。', '评估存货跌价准备计提的充分性。', '解释存货周转天数上升原因']"
002331.SZ,2020-05-11,皖通科技-关注函-2020-05-11,"['关于南方银谷提请召开临时股东大会的决议理由是否充分。', '廖凯辞职原因及程序是否合法合规，对公司影响如何。', '公司董事长任职程序及董事会运作情况。', '提名李臻为董事长是否有利于提升公司治理。', '周发展反对选举李臻的理由及其事实依据。', '李臻当选董事长是否存在损害上市公司利益的情形']"
002337.SZ,2023-06-19,赛象科技-年报问询函-2023-06-19,"['说明专用机械设备和通用机械设备的划分标准及合理性。', '结合市场需求变化、新增客户等因素，解释主营业务构成变动原因。', '分析毛利率大幅变动的原因，并补充营业成本主要构成项目。', '解释近两年主营业务波动大且与同行业公司差异显著的原因。', '解释客户集中度上升、供应商集中度大幅上升的原因。', '对比说明委托关联人采购和自身采购的差异及必要性。', '评估关联交易定价公允性，是否存在虚增利润情形。', '结合外币汇率变动趋势，解释汇兑收益增加原因。', '说明境外业务收入真实性及其与结算差额、存放款项规模是否匹配。', '解释应收账款余额增长与营业收入下降不一致的原因及合理性。', '分析存货期末余额大幅增长的合理性及是否存在虚增毛利率情形。', '评估应收账款变动与合同资产变动的一致性，确认科目间勾稽关系。', '说明无追索权保理业务背景、债务人关联情况及长期未收回原因。', '解释信用减值损失转回的依据及合规性']"
002338.SZ,2022-08-09,奥普光电-关注函-2022-08-09,"['交易方案调整原因及合理性', '业绩补偿履约能力与保护措施', '资金影响及风险提示', '毛利率变动和评估基准日选择']"
002338.SZ,2022-04-01,奥普光电-许可类重组问询函-2022-04-01,"['关联交易定价公允性及独立性', '减少关联交易措施对评估作价影响', '重组交易支付能力与财务风险', '业绩承诺方质押股份可能性', '收入大幅增加原因及合规性', '评估增值合理性及其依据', '注册资本变化情况及锁定安排', '控股股东干预运营的可能性']"
002337.SZ,2020-05-09,赛象科技-年报问询函-2020-05-09,"['解释期初应收账款坏账准备与期末差异及原因', '说明信用风险判断依据和坏账计提政策变更情况', '披露坏账准备转回的具体情况并分析合理性', '解释长期应收款大幅增长的原因及销售政策变化', '披露主要合同条款并评估坏账准备的充分性', '说明销售费用-工资、售后维修费增长原因及合理性', '分析毛利率下降原因及行业对比', '补充交易性金融资产明细和期后回收情况', '解释终止确认收益为负的原因及合规性', '披露未决诉讼会计处理及执行进展', '说明子公司业务开展情况及政策符合性', '核实股权转让款支付计划及审议程序', '解释债务重组损益的具体情况']"
002348.SZ,2020-12-15,高乐股份-关注函-2020-12-15,"['披露异度信息未经审计的财务数据整改情况', '说明出售异度信息的具体原因及交易价格公允性', '说明未完成业绩承诺及补偿义务的处理进展和影响', '评估新鸿辉实业履约能力并说明付款安排合理性', '会计处理是否符合企业会计准则规定', '补充披露新鸿辉实业和异度信息相关信息']"
002348.SZ,2023-01-05,高乐股份-关注函-2023-01-05,"['说明纳米固态电池行业情况及跨界投资的必要性和合理性。', '解释投资金额合理性及其论证过程。', '评估跨界投资可行性并分析对公司经营的影响。', '披露项目资金来源和计划，并评估财务影响。', '核实是否存在股价炒作或内幕交易行为。', '说明投资事项筹划过程及保密措施。']"
002350.SZ,2021-11-30,北京科锐-关注函-2021-11-30,"['补充说明北京稳力的研发水平和评估参数。', '说明并购及回购的具体资金来源，保障日常生产经营所需流动资金。', '评估保证及承诺的可行性与履约保障措施。', '说明QINGSONG HUA及其团队的研究成果。', '核查收购及回购的信息披露情况。', '明确未来六个月内是否存在减持计划。', '应予说明的其他事项。']"
002354.SZ,2021-10-13,天神娱乐-关注函-2021-10-13,"['说明向幻想悦游以外的股东转让股权程序是否符合《公司法》', '补充披露幻想悦游股东大会审议结果及表决情况', '说明是否严格执行股权转让条款，标的公司其他股东是否已过半数同意', '说明2016年协议未履行的具体原因和后续方案', '说明本次出售及债务转让是否满足所有审批程序']"
002354.SZ,2020-06-08,*ST天娱-年报问询函-2020-06-08,"['改善经营业绩和持续经营能力的具体措施', '银行账户冻结对公司生产经营的影响', '公司是否符合持续经营条件', '流动负债偿还情况及逾期债务占比', '大额经营活动净现金流的可持续性', '评估公司的偿债能力并提示风险', '应收账款高企的原因及合理性', '预付款项的具体内容和性质', '费用占营业收入比例上升的原因', '研发费用减少及人员变动的影响', '行权条件设置的考量及合理性', '无实际控制人状态对公司影响']"
002354.SZ,2021-05-13,*ST天娱-年报问询函-2021-05-13,"['解释近三年营业收入持续下滑及扣非后净利润为负的原因', '说明电竞游戏业务毛利率下降原因和合理性', '解释子公司未完成业绩承诺的具体原因及业绩补偿执行情况', '分析商誉减值计提的合理性和准确性', '对比同行业上市公司，说明费用结构占比是否合理', '披露长期股权投资减值准备计提是否恰当', '说明暂借款形成原因、对象及其关联性等', '解释破产重整损益确认时点及会计处理过程', '报告预留股票处置进展']"
002354.SZ,2021-06-16,天神娱乐-问询函-2021-06-16,"['说明幻想悦游业绩实现情况及折价原因', '补充会计处理及影响，是否符合《企业会计准则》', '判断交易是否处置不良资产并保护股东权益', '披露往来款明细及其对商誉减值的影响', '核查交易对手方与公司关联关系及履约能力', '说明业绩补偿执行情况及偿付安排']"
002359.SZ,2020-06-17,*ST北讯-关注函-2020-06-17,"['说明本次增资以未经审计财务数据作为定价依据的合理性。', '说明中国全通是否应当履行关联交易审议程序。', '说明引入投资者增资的主要目的和意图。', '说明2018年报非标意见所涉事项解决情况。', '说明北讯电信业绩补偿的具体安排及预计完成期限。']"
002359.SZ,2020-01-23,*ST北讯-关注函-2020-01-23,"['说明销售退回和通信费用减免的主要依据及合理性。', '解释集中分期计提大额商誉减值准备的原因及合理性。', '披露商誉减值测试过程中的重要假设、关键参数。']"
002359.SZ,2020-07-05,*ST北讯-年报问询函-2020-07-05,"['连续两年无法表示意见的审计报告，公司股票被暂停上市，请说明改善措施及整改进展。', '未能安排年审会计师对电信板块相关公司实施现场审计的具体原因。', '详细说明流动资产与负债情况、偿债资金筹集计划和财务风险。', '通讯终端和通信服务业务营业收入为负值的原因及合理性。', '预付款项大幅增长的原因及合理性，是否匹配当期业务开展情况。', '在建工程余额增长的具体原因及合理性，是否存在减值准备。', '与天津衡信的采购交易内容及必要性，截至目前已支付货款及供货情况。', '递延所得税资产确认依据是否符合会计准则。', '内部控制存在重大缺陷，请说明具体影响和整改措施。']"
002359.SZ,2020-01-21,*ST北讯-关注函-2020-01-21,"['致同关于更换会计师事务所的陈述意见', '独立董事核查更换原因', '与利安达沟通及审计时间安排', '变更年度审计机构的原因和动机']"
002359.SZ,2020-05-06,*ST北讯-关注函-2020-05-06,"['核实王天宇、苏永琴异议声明的原因及依据。', '说明是否尽到勤勉尽责义务，是否存在违规行为。', '保证年报的真实性和准确性，配合会计师推进审计工作。']"
002359.SZ,2020-04-27,*ST北讯-关注函-2020-04-27,"['董事王天宇投反对票的原因是什么？', '非标意见所涉事项的解决进展如何？', '公司持续经营能力如何？', '债务逾期及主营业务停滞情况如何？', '重要资产盘点是否存在风险？', '大额预付款逾期未供货的情况如何？', '诉讼及银行账户被冻结的风险提示？', '董秘缺位对公司的影响是什么？']"
002359.SZ,2020-06-08,*ST北讯-关注函-2020-06-08,"['放弃增资优先认缴权的原因及决策过程。', '本次增资定价依据及其合理性。', '广讯全通的履约能力及工商变更安排。', '投资合作框架协议进展与增资关系。', '财务负责人离职原因及其对公司年报的影响。', '披露公司治理和关联交易情况。']"
002362.SZ,2023-03-02,汉王科技-关注函-2023-03-02,"['确认是否存在应披露而未披露的重大信息，公司基本面是否发生重大变化。', '说明近期接待机构、个人投资者调研以及在互动易回复投资者提问的情况。', '向控股股东、实际控制人书面函询股权转让、资产重组等重大影响事项。', '核查相关人员买卖股票行为及内幕交易情形。', '应予说明的其他事项。']"
002362.SZ,2023-04-11,汉王科技-年报问询函-2023-04-11,"['业绩大幅下降的具体原因', '毛利率下降的原因', '关联董事大额分红的必要性及合理性', '应收账款坏账计提是否充分', '存货跌价损失及合同履约成本减值损失增长的原因', '扑翼仿生机器人项目终止研发的具体原因', '其他应收款大幅增长的原因及坏账计提情况', '管理费用中职工薪酬及劳务费增长的原因', '销售人员和研发人员薪酬增长的合理性', '短期借款大幅增长的原因']"
002362.SZ,2023-02-07,汉王科技-关注函-2023-02-07,"['NLP业务的具体产品、应用情况及研发投入等财务数据。', '回复的真实性、准确性和谨慎性。', '经营风险和业绩亏损的风险提示。', '是否存在应披露而未披露的重大信息，确认公司基本面是否发生重大变化。', '控股股东及实际控制人是否有股权转让、资产重组等计划。', '近期接待机构和个人投资者调研的情况。', '核查是否存在内幕交易行为。']"
002364.SZ,2020-02-20,中恒电气-关注函-2020-02-20,"['详细说明与特斯拉的合作情况。', '解释‘目的地业务’的具体含义。', '提供与特斯拉合作的业务明细。', '说明充电桩业务的发展情况。', '检查是否存在以互动易回复替代临时公告的情形。', '披露近三个月股价走势及内幕交易、操纵市场的情况。', '其他需要说明的事项。']"
002364.SZ,2021-06-11,中恒电气-年报问询函-2021-06-11,"['货币资金存放地点、类型等及真实性', '短期借款详细情况和风险提示', '大额货币资金与短期借款合理性', '库存商品增加原因及真实性', '应收账款坏账准备计提依据', '在建工程投入明细及准确性', '新能源车充换电业务研发投入及竞争优势', '募投项目实施进度及资金情况', '经营活动现金流量净额减少原因']"
002367.SZ,2023-04-20,康力电梯-年报问询函-2023-04-20,"['解释良卓票据理财补提减值准备的合理性', '核实华领9号理财相关会计处理是否准确', '说明理财产品分类依据及合理性', '评估投资决策与风险控制的有效性', '解释营业收入下降幅度差异原因', '分析委托理财对公司财务安全的影响', '评估公司投资能力及风险控制', '披露3年以上应收账款的具体情况', '说明大额资产减值准备的原因', '自查并披露未合并的结构化主体', '列示账龄超过1年的预付款项详情']"
002373.SZ,2020-12-23,千方科技-关注函-2020-12-23,"['说明收购北京盘天股权的估值方法及增值原因', '对比近期可比案例说明交易作价是否公允', '解释业绩承诺设置的原因和合理性', '说明补偿安排及其合理性，核心股东履约能力', '说明设立合伙企业的目的与本次交易关系']"
002376.SZ,2021-02-04,新北洋-关注函-2021-02-04,"['论证公司无实际控制人状态并函询股东意见', '说明是否存在管理层或共同控制情况', '披露联众利丰未来增持计划及影响', '北洋集团未来减持计划', '提示无控股股东、无实际控制人的风险']"
002383.SZ,2020-12-16,合众思壮-关注函-2020-12-16,"['说明兴派科技设立及股权转让目的、必要性等。', '评估未考虑抵押和待租状态对估值影响的判断依据。', '披露交易会计确认时点及处理依据，是否符合准则。', '说明款项按期收回可行性及保障措施。']"
002383.SZ,2020-10-30,合众思壮-三季报问询函-2020-10-30,"['说明董事会针对保留审计意见所涉事项的执行情况及消除进展。', '披露与南京元博款项回款情况，是否存在无法收回的风险。', '解释2020年前三季度亏损的具体原因及应对措施。', '分析主要产品毛利率下滑的原因及合理性。', '评估短期偿债能力及可能面临的财务风险。', '补充披露其他权益工具投资减少的具体情况及其合规性。', '说明向控股股东借款的用途、必要性和利率公允性，以及股权和资产权利受限的影响']"
